moa,precision,recall,f1
AKT,0.7961904761904762,1.0,0.8792307692307693
AURORA KINASE,0.6890909090909091,0.5,0.5665700483091788
CDK,0.7025941378882555,0.419047619047619,0.5190317706029781
HDAC,0.9099513817042268,0.8708333333333332,0.8894894217148221
HMGCR,0.8476190476190476,0.7,0.7533799533799533
JAK,0.41477180714022815,0.4133333333333333,0.4105544550326334
MTOR,0.8748584748584749,0.9,0.8858104793756969
PARP,0.6220293040293041,0.8444444444444444,0.7141239439254445
TOPOISOMERASE,0.8138461538461538,0.7666666666666666,0.7758998895841002
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.526757051581736,0.4909090909090909,0.5038900796080833
VEGFR,0.17733957219251337,0.8,0.2888721804511278
