moa,U2OS_median_standard_structure_merge_tk_egfr_keep_vegfr,U2OS_median_standard_structure_merge_tk_egfr_keep_vegfr,U2OS_median_standard_structure_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_standard_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_standard_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_standard_structure_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,U2OS_median_standard_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_standard_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_standard_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_standard_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_standard_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_standard_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,U2OS_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,U2OS_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.7961904761904762,1.0,0.8792307692307693,0.6255555555555555,0.711111111111111,0.6643274853801169,0.6771428571428572,1.0,0.7974725274725275,0.6788034188034187,0.7555555555555555,0.7120680489101542,0.5382478632478632,0.6444444444444444,0.5788282828282828,0.8857142857142858,1.0,0.9384615384615383,0.7247619047619047,1.0,0.8374725274725273,0.7637362637362638,0.9666666666666668,0.8260826892405839,0.5382117882117882,0.6888888888888889,0.5971448500348756,0.6221861471861472,0.6666666666666666,0.6326666666666666,0.4938311688311688,0.5555555555555556,0.5167774936061381,0.8642857142857142,0.9666666666666668,0.9070929070929072
AURORA KINASE,0.6890909090909091,0.5,0.5665700483091788,0.390855614973262,0.3444444444444444,0.3621571169302566,0.5611111111111111,0.3666666666666667,0.4426065162907268,0.4722222222222222,0.5,0.4825501032355378,0.481756313861577,0.4444444444444445,0.4536879890020807,0.6711904761904762,0.4666666666666667,0.5486397812713601,0.7283333333333333,0.35,0.4433766233766233,0.5616666666666668,0.25,0.3377310924369748,0.5957391304347827,0.7555555555555555,0.663717148799395,0.6036951073335513,0.6888888888888889,0.6428084053244516,0.4226585695006747,0.3666666666666666,0.3912411980723176,0.5517460317460318,0.3166666666666666,0.3987085360459973
CDK,0.7025941378882555,0.419047619047619,0.5190317706029781,0.513079513079513,0.474074074074074,0.4922235496359485,0.7167323388685618,0.5809523809523809,0.6346309370988447,0.4575661375661375,0.4962962962962963,0.4750279739753423,0.4834765694076039,0.4814814814814815,0.4817828315345693,0.6865752616836207,0.5904761904761905,0.632873851294904,0.6728488050738689,0.5047619047619047,0.5691517563963384,0.7501031991744067,0.638095238095238,0.6876479817429753,0.3562696443341605,0.311111111111111,0.3298722731108529,0.5113336649647526,0.5259259259259259,0.51699169553979,0.482902557937621,0.4666666666666667,0.4712281500759054,0.6956349206349207,0.523809523809524,0.5903591903591904
HDAC,0.9099513817042268,0.8708333333333332,0.8894894217148221,0.8243770362880575,0.8,0.8114919067860245,0.9473325677644612,0.8541666666666666,0.8971307077098511,0.8787983299611206,0.7733333333333332,0.8214123667170163,0.8300134965776534,0.8177777777777779,0.8234623281082649,0.8987571617668074,0.8666666666666668,0.8814452649587837,0.8668721225864082,0.8541666666666667,0.8592435496487167,0.9516631974297478,0.8583333333333334,0.9014928984411608,0.8553010433059394,0.7866666666666665,0.8191719857486373,0.9308154308154308,0.76,0.8365133135458338,0.8478871597598647,0.7822222222222223,0.8132932985861944,0.9072979797979798,0.85,0.8774719495091163
HMGCR,0.8476190476190476,0.7,0.7533799533799533,0.7055555555555555,0.7333333333333333,0.7018181818181818,0.9714285714285716,0.7666666666666667,0.8264335664335665,0.6790043290043289,0.9666666666666668,0.7936910148674855,0.6007142857142858,0.6666666666666667,0.6142557442557444,0.8133333333333332,0.7333333333333333,0.7696969696969698,0.86,0.7,0.7709090909090909,0.8333333333333334,0.6,0.6803030303030303,0.6580952380952381,0.9,0.7546153846153846,0.6747619047619048,1.0,0.7993772893772894,0.6945238095238095,0.8,0.7354911754911756,0.74,0.3666666666666666,0.4535064935064935
JAK,0.4147718071402281,0.4133333333333333,0.4105544550326334,0.2112237114525443,0.1809523809523809,0.1936163836163836,0.5264957264957265,0.4666666666666666,0.4897849462365592,0.2978982228342842,0.2571428571428571,0.2708015135878913,0.3024922664718061,0.2761904761904762,0.2825514954030492,0.4897635800731776,0.5333333333333334,0.5056625727213963,0.4074242424242424,0.3466666666666667,0.3658149386845039,0.4950802139037432,0.4266666666666667,0.4541419098143237,0.3901515151515151,0.3047619047619047,0.3360112693521655,0.3957281796291084,0.3238095238095237,0.3526020776449172,0.3191925086407845,0.3523809523809523,0.3308645029970195,0.5719347319347319,0.44,0.4963304843304844
MTOR,0.8748584748584749,0.9,0.8858104793756969,0.7689393939393939,0.4666666666666667,0.5704973003694231,0.951048951048951,0.8666666666666666,0.9048537549407112,0.7542857142857142,0.45,0.5588516746411483,0.878095238095238,0.5,0.6297151077336837,0.9358974358974358,0.9166666666666666,0.9252753623188406,0.951048951048951,0.85,0.8953675889328062,0.8198879551820728,0.9333333333333332,0.8635636028139777,0.711111111111111,0.4166666666666667,0.5233082706766916,0.7378571428571429,0.4833333333333333,0.5817224880382775,0.8278571428571428,0.5,0.6157331832254433,0.7881663434604611,0.8833333333333334,0.826351436558333
PARP,0.6220293040293041,0.8444444444444444,0.7141239439254445,0.516889827615634,0.6916666666666667,0.5902192124923928,0.6096597653554175,0.7,0.6475140784239579,0.593452380952381,0.7,0.6404438698556346,0.4867403913915542,0.6916666666666667,0.5680293270489656,0.6819875776397516,0.8555555555555555,0.758295363173412,0.5852171484429549,0.7333333333333334,0.6465771571786609,0.6073976608187135,0.6888888888888889,0.6439464913149124,0.4103741010510787,0.5416666666666667,0.4665797817032279,0.4952783254608812,0.675,0.5698352727767514,0.5782284382284383,0.7083333333333333,0.6343570255688482,0.583098104793757,0.7555555555555555,0.6567472928699307
TOPOISOMERASE,0.8138461538461538,0.7666666666666666,0.7758998895841002,0.6773504273504273,0.7166666666666667,0.6897671957671958,0.504658705587498,0.7166666666666666,0.5840199548319682,0.7174002468120115,0.8,0.7526476761619191,0.6389377289377289,0.7166666666666667,0.6746267806267807,0.7302991452991454,0.7166666666666666,0.710121212121212,0.6247058823529412,0.8166666666666668,0.7053639846743296,0.459093194387312,0.5333333333333333,0.488303848075962,0.8089377289377289,0.7833333333333333,0.7850152810152811,0.8572727272727274,0.7333333333333333,0.7866798418972332,0.6441083916083915,0.6666666666666667,0.6509745906267645,0.6479797979797979,0.8166666666666667,0.7187393604784909
TUBULIN,0.0,0.0,0.0,0.8042857142857143,0.7777777777777777,0.7873065015479875,0.0,0.0,0.0,0.7583333333333333,0.6888888888888889,0.7215686274509805,0.8984126984126984,0.7555555555555554,0.8187908496732026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7337012987012986,0.711111111111111,0.7172445820433436,0.7547619047619047,0.6666666666666666,0.7068627450980393,0.7068831168831169,0.711111111111111,0.7038080495356038,0.0,0.0,0.0
TYROSINE KINASE,0.526757051581736,0.4909090909090909,0.5038900796080833,0.4406256109481916,0.3944444444444444,0.4147129057231007,0.64556059439263,0.5696969696969696,0.6046648138023206,0.3996174196174196,0.3722222222222222,0.3838374895839684,0.4483919098143236,0.3555555555555555,0.3960268573930813,0.5472186763760977,0.4242424242424242,0.4759630041610019,0.5879533451947244,0.5454545454545455,0.5619848252106318,0.6020090851589902,0.5636363636363636,0.5812322586203182,0.3898726832163365,0.3944444444444445,0.3918798436263225,0.3879122773859617,0.4111111111111111,0.3983429433006563,0.3393206256109481,0.3,0.3183926912750824,0.5453554360812425,0.4787878787878788,0.5071328671328672
VEGFR,0.1773395721925133,0.8,0.2888721804511278,0.0,0.0,0.0,0.1263467492260062,0.6,0.2071328671328671,0.0278846153846153,0.0333333333333333,0.0302857142857142,0.0271493212669683,0.0333333333333333,0.0297931034482758,0.1956343656343656,0.9333333333333332,0.3200310559006211,0.0868627450980392,0.4,0.1422222222222222,0.0835294117647058,0.4666666666666666,0.1413071895424836,0.0816666666666666,0.0666666666666666,0.073030303030303,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.0,0.0,0.0,0.1396825396825396,0.7999999999999999,0.2373015873015872
