MOA,Precision,Recall,F1
AKT,1.0,0.3333333333333333,0.5
AURORA KINASE,0.5,0.3333333333333333,0.4
CDK,0.5454545454545454,0.6666666666666666,0.6
EGFR,0.7142857142857143,0.7142857142857143,0.7142857142857143
HDAC,0.6818181818181818,1.0,0.8108108108108109
HMGCR,1.0,1.0,1.0
JAK,0.42857142857142855,0.42857142857142855,0.42857142857142855
MTOR,1.0,0.5,0.6666666666666666
PARP,0.75,0.75,0.75
TOPOISOMERASE,1.0,0.75,0.8571428571428571
TUBULIN,1.0,0.3333333333333333,0.5
TYROSINE KINASE,0.3333333333333333,0.4,0.36363636363636365
VEGFR,0.3333333333333333,0.25,0.2857142857142857
